background load: 32 busy loops on 32 cores
date: 2026-09-08T12:04:57Z
$ env N=250 MIX_ENV=test mix run /tmp/claude-1000/-home-aylac-Projects-beam-mcp/7e6cdf96-6bae-44c9-9851-e53830c64eb4/scratchpad/006/loss_site.exs


08:04:59.680 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.701 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.702 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.703 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.706 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.707 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.707 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.708 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.711 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.711 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.712 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.712 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.712 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.713 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.713 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.714 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.714 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.718 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.718 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.719 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.719 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.719 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.723 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.727 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.727 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.728 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.728 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.728 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.729 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.729 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.730 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.730 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.731 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.734 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.734 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.735 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.735 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.735 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.736 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.736 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.736 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.738 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.740 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.740 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.741 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.741 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.741 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.742 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.742 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.743 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.743 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.744 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.745 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.745 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.746 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.747 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.748 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.748 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.749 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.750 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.751 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.752 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.753 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.753 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.754 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.755 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.756 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.757 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.757 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.758 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.759 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.760 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.761 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.761 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.762 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.763 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.764 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.764 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.765 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.766 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.767 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.768 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.769 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.769 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.770 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.771 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.772 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.773 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.774 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.774 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.775 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.776 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.777 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.778 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.778 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.779 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.780 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.784 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.784 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.785 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.786 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.787 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.787 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.791 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.792 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.795 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.799 [info] beam_mcp: refused by host authorize/1: :nope

08:04:59.800 [info] beam_mcp: refused by host authorize/1: :nope

