background load: 32 busy loops on 32 cores
date: 2026-09-08T01:52:45Z
$ env N=120 MIX_ENV=test mix run /tmp/claude-1000/-home-aylac-Projects-beam-mcp/7e6cdf96-6bae-44c9-9851-e53830c64eb4/scratchpad/006/write_shape.exs


21:52:46.950 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.974 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.974 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.978 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.978 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.979 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.979 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.980 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.980 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.981 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.982 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.983 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.983 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.984 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.984 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.986 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.989 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.989 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.989 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.990 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.990 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.990 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.991 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.991 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.992 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.995 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.995 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.995 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.996 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.996 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.996 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.997 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.997 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.998 [info] beam_mcp: refused by host authorize/1: :nope

21:52:46.999 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.000 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.004 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.004 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.005 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.005 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.006 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.006 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.006 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.009 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.009 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.009 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.010 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.010 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.013 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.014 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.014 [info] beam_mcp: refused by host authorize/1: :nope

21:52:47.015 [info] beam_mcp: refused by host authorize/1: :nope

